Status,Code,Study,ID,Year,FirstAuthor,Journal,PersonExtractingData,DateExtracted,Habitat,HabitatDescription,Location,SpeciesDistribution,Latitude,Longitude,Depth,LabFieldMeso,StudyDuration,StudyDurationDays,StudyArea,SampleSize,Replicates,ReplicationNotes,NumberFactorialEffects,ThirdFactorValue,Month,StudyYear,OtherResponseVariables,StressorOne,StressorOneManipulation,StressorOneLevels,StressorOneUnits,StressorOneRange,StressorOneRelativeToBackground,Acclimation,AcclimationNotes,WaterAirStress,StressorTwo,InteractionCode,StressorTwoFurther,StressorTwoManipulation,StressorTwoLevels,StressorTwoUnits,StressorTwoRange,StressorTwoRelativeToBackground,BackgroundAmbientEffectOne,BackgroundAmbientEffectTwo,Genus,Species,Lifestage,TaxaCategory,TaxaFurther,TrophicGroup,OrganisationLevel,ThermalTolerance,Endemic,SpawningDispersal,ResponseVariable,Responsefurther,PlantAnimalOther,ResponseDefined,ResponseUnits,FeedingReported,FeedingRegime,TimeSeries,ResponseTime,LastTimePoint,StressorOneInitialConditions,StressorOneTreatmentConditions,StressorOneDifference,TempDifferenceCateg,StressorTwoInitialConditions,StressorTwoTreatmentConditions,ThirdFactorLevel,C_mean,C_sd,C_n,S1_mean,S1_sd,S1_n,S2_mean,S2_sd,S2_n,S1_S2_mean,S1_S2_sd,S1_S2_n,AdditiveNullModel,MultiplicativeNullModel,DominanceNullModel,Sd_p,n_p,j,s,HedgesdAdditive,VdAdditive,HedgesdMultiplicative,VdMultiplicative,HedgesdDominance,VdDominance,NullModelClosestZero,additive-observed,multi-observed,dom-observed,Add?,Mult?,Dom?,%changeA,%changeB,%difference,Assymetric?,Eco_surprise_larger,Eco_surprise_smaller,Surprise,Temp_asymmetric,secondstress_asym
,F,130,236,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,"90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth. Fine river sand sourced from the floodplain of the Taieri River (grain size 0.2 mm) was added on day 0 to half the mesocosms, resulting in deposited sediment values equivalent to those occurring in intensively farmed New Zealand streams",2,percentage cover and mm depth,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,,,,,Producer,Algae,,Community,,,NA,Plant biomass/abundance,Abundance,Plant,Relative abundance patterns of filamentous algal growth,% per sample,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,0% and 0mm,90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth,Ambient,4.2990656,10.0934582,4,22.429907,43.36448,4,0.93457943,3.36448602,4,3.17757,5.9813092,4,19.06542083,4.876066487,22.429907,30.75547018,4,0.869565217,22.15485281,-0.623588998,0.512151976,-0.066665009,0.500138882,-0.755643143,0.517843642,Multiplicative,15.88785083,1.698496487,19.252337,N,Multiplicative,N,421.7391193,78.26087069,343.4782486,Y,,Smaller,Smaller,Y,Y
OriginalData,F,97,116,2013,Dinh Van,GCB,MJ,,Freshwater,Lentic,Belgium,,50.862175,4.698322222,,Lab,7 days,7,100 ml,10,NA,,3,Latitude,June,2010,Food intake / Protein concentrations,Temperature,Water baths,2,celsius,20-24,Elevated,Yes,"When molted into the final instar, larvae from each rearing temperature were introduced in the zinc exposure experiment at their respective temperature. Note that by doing so, all larvae had been fully acclimated to their experimental temperature (starting from the egg stage) before we tested effects of temperature, zinc, and their combination",Water,Contamination,T x Contamination,,Zinc,3,mg zinc l?1,0-150,Elevated,,,Ischnura,elegans,Larvae ,Invertebrate,Damselfly,,Population,,Native,NA,Animal growth/size,Growth,Animal,growth rate damselfly,Day ÔøΩ 1,Yes,"Larvae were fed Artemia nauplii ad libitum (459 ÔøΩ 48, mean ÔøΩ SE, n = 10) 5 days a week",No,6,,20 degrees celsius,24 degrees celsius,4,4 ÔøΩ 7,0 mg L-1,150 mg L-1,,0.0055,0.0036,36,0.007,0.005656854,32,0.0012,0.003041381,37,0.00098,0.005039048,30,0.0027,0.001527273,0.0012,0.004447035,32,0.987447699,0.004742411,-0.358132185,0.064650135,-0.113951207,0.064590096,-0.045807605,0.064584426,Dominance,0.00172,0.000547273,0.00022,N,N,Dominance,27.27272727,78.18181818,50.90909091,Y,,Smaller,Smaller,,Y
OriginalData,F,15,27,2003,Moss,J. App. Eco. ,MJ,,Freshwater,Lentic,UK,,53.26666667,-3.05,,Mesocosm,,NA,1ÔøΩ02 m deep and 2 m in diameter,48,NA,,4,Season and fish presence,September,1998,,Temperature,Heating element ,2,celsius,,Elevated,,,Water,Nutrients,T x Nutrients,,Addition of N and P,3,mg L-1,,Elevated,,,,,,Producer,Phytoplankton,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Cryptophyceae,ÔøΩm3 ml?1 ÔøΩ 10?6,,,Yes,NA,Yes,,Ambient + 3 degrees celsius,3,1 ÔøΩ 3,,"170 ?g N L-1, 17 ?g P L-1 ",,2246,0.228,4,2900,0.228,4,497,0.228,4,1740,0.228,4,1151,641.7186109,497,0.228,4,0.869565217,0.228,2246.376812,157694.5244,4188.716206,548292.4828,4740.655988,702307.3498,Additive,589,1098.281389,1243,Additive,N,N,29.11843277,77.87177204,48.75333927,,Larger,,Larger,,Y
,F,136,262,2017,Hoefnagel,Journal of Thermal Biology,OFM,06/03/2019,Freshwater,NA,Netherlands,,NA,NA,,Lab,,NA,6 L aquaria,200,2,"Four large trays, containing water that was temperature controlled at either 17 ÔøΩC (2 trays) or 22 ÔøΩC (2 trays) were used and in these trays fifteen 6 L aquaria (3ÔøΩ4 per tray) were placed, creating 2ÔøΩ3 replicates per treatment",2,,,2013,,Temperature,,2,celsius,17-22,Elevated,Yes,These snails were kept in 10 L glass aquaria at room temperature (18ÔøΩ20 ÔøΩC),,O2,T x O2,,"Mass stream gas flow controllers were used to create three mixtures of oxygen and nitrogen to keep oxygen levels in both the water and the overhead air at 10, 20 or 40 kPa",3,kPa,,Reduced,18-20 degrees celsius,,Lymnaea,stagnalis,,Invertebrate,Gastropod,,Individual,,,NA,Animal condition/physiological,Metabolism,Animal,Energy flux through food consumption,J/g/d,Yes,Food (fresh leaves of iceberg lettuce) was supplied ad libitum two to three times each week,No,NA,,17 degrees celsius,22 degrees celsius,5,4 ÔøΩ 7,20 kPa,10 kPa,,831.08374,362.1810963,2,155.50728,40.52891829,2,202.83719,37.95008543,2,172.70834,21.36951011,2,-472.73927,37.95364797,155.50728,39.26068136,2,0.571428571,31.60741261,-11.66900975,18.02072355,2.436222228,1.741897343,0.310976962,1.012088334,Dominance,645.44761,134.754692,17.20106,N,N,Dominance,81.28861479,75.59365197,5.69496282,,Larger,,Larger,Y,Y
OriginalData,F,34,65,2013,Knillman,Global Change Biology,MJ,,Freshwater,Lentic,Germany,,51.35361111,12.43194444,,Lab,17 weeks,119,80 L,,NA,,2,,June,2009,,Temperature,Electric heater,2,celsius,,Elevated,,,Water,Contamination,T x Contamination,Pesticide,"Addition of commercial pesticide formula Sumicidin Alpha EC, which contains 50 g L?1 of the active ingredient, esfenvalerate",3,?g L-1 ,0-3,Elevated,,,,,,Invertebrate,Zooplankton,,Community,,,NA,Animal biomass/abundance,Abundance,Animal,Simocephalus_sp,,,,Yes,NA,,Ambient,Ambient + 6.2 degrees celsius,6.2,4 ÔøΩ 7,0 ?g L-1,3 ?g L-1,,83.41666667,111.8192196,12,26.83333333,43.53580902,5,20.6,17.68363965,5,12.2,6.260990337,5,0,6.626573427,20.6,33.22708066,5,0.903225806,23.90856425,0.460895716,0.404248497,0.210554789,0.400886666,-0.317338034,0.402014069,Multiplicative,12.2,5.573426573,8.4,N,Multiplicative,N,67.83216784,75.30469531,7.472527468,,,,Within,Y,Y
,F,134,256,2017,Correa-Araneda,Ecology and Evolution,OFM,27/02/2019,Freshwater,Lotic,Spain,,43,-3,,Lab,7 days,7,Microcosms,,10,"All combinations of litter, temperature, and predator were replicated ten times",3,Predator,,,,Temperature,Water bath,2,celsius,Oct-15,Elevated,,,Water,Nutrients,T x Nutrients,,Leaf litter type,2,g,,,,,Sericostoma,pyrenaicum,,Invertebrate,Caddisfly,Detritivore,Individual,,,NA,Animal growth/size,Growth,Animal,Growth efficiency (growth mg relative to consumption mg,,Yes,Caddisflies were starved for 24 hr before experiment,No,NA,,10 degrees celsius,15 degrees celsius,5,4 ÔøΩ 7,0.4 g ÔøΩ 0.006 SD dry mass of Alnus glutinosa,0.4 g ÔøΩ 0.006 SD dry mass of Ecualyptus globulus,Absent,0.03409201,0.04992264,10,0.01937046,0.015926236,10,0.008813559,0.028789744,10,0.008813559,0.01837643,10,-0.005907991,0.005007704,0.008813559,0.02326472,10,0.957746479,0.020963544,-0.672572951,0.202261772,0.173875382,0.200151163,0,0.2,Dominance,0.01472155,0.003805855,0,N,N,Dominance,43.18181885,74.14772846,30.96590961,,,,Within,,Y
,F,122,184,2016,MacLennan,Hydrobiologia,OFM,18/02/2019,Freshwater,Lentic,Canada,,52.01666667,-116.4333333,2217 m.a.s.l,Lab,31 days,31,"28 cm diameter, 40 cm depth",,4,The blocking treatment consisted of communities collected from four naturally fishless alpine lakes,3,Regional biodiversity,July-August,2009,,Temperature,Warmed chambers,2,celsius,Oct-17,Elevated,Yes,"Chambers were set to a 12-h light/dark cycle. Local communities were given 3 days to adjust to growth chamber conditions at 10ÔøΩC (the average temperature of source alpine lakes) before treatments were applied on July 24, 2009",,Invasion,T x Invasion,,Non-native predator (achieved through passing plankton through 1-mm mesh-sized sieve showing that selective predation by non native trout predator extirpate zooplankton >1 mm),2,,,Elevated,10 degrees celsius,0,,,,Invertebrate,Zooplankton,,Community,,,NA,Animal biomass/abundance,Biomass,Animal,Total zooplankton biomass of local and regional species pools,?g L-1,Yes,The phytoplankton collections from each lake were distributed in equal-volume aliquots among the eight containers containing zooplankton communities from their respective lake to provide algal food,Yes,31,Yes,10 degrees celsius,17 degrees celsius,7,4 ÔøΩ 7,0,Size-selective fish predation was simulated by sieving the entire zooplankton community in the container three times using a 1-mm mesh-sized sieve,Local and regional species,322.340526,85.81763789,4,132.0106569,116.1583104,4,83.35377678,39.64391878,4,22.32351222,15.08396923,4,0,34.13652934,83.35377678,86.78822896,4,0.869565217,62.28853351,0.311642427,0.503035031,-0.164912998,0.500849884,-0.851999434,0.52268447,Multiplicative,22.32351222,11.81301712,61.03026456,N,Multiplicative,N,59.04621161,74.14108061,15.094869,,,,Within,Y,Y
OriginalData,F,19,44,2012,Shurin,Proc B,MJ,,Freshwater,Lentic,Canada,,NA,NA,,Mesocosm,16 months,487,1136 l tanks,40,5,"Treatments of warming, fish and nutrients were applied in a 2 ÔøΩ 2 ÔøΩ 2 factorial design with five replicates per treatment combination",3,Fish predation,May,2009,,Temperature,Electrical aquarium heaters,2,celsius,,Elevated,Not given,,,Nutrients,T x Nutrients,,Addition of N and P as NaN03 and KH2PO4,2,?g L-1 ,,Elevated,,,,,,Producer,Phytoplankton,,Community,,,NA,Plant biomass/abundance,Biomass,Plant,Phytoplankton,,Yes,,No,NA,,,Ambient + 3.04 ÔøΩ0.05 degrees celsius,3,1 ÔøΩ 3,,Addition of 264 ?g L-1 N 27 ?g L-1 P,No fish,0.175992432,0.107109113,5,0.025324216,0.010570929,5,0.30194756,0.166368125,5,0.268379616,0.424048813,5,0.151279344,0.043448375,0.025324216,0.117877261,5,0.903225806,0.311217323,0.339852507,0.402309995,0.652803319,0.408523043,0.705403887,0.409951893,Additive,0.117100272,0.224931241,0.2430554,Additive,N,N,85.61062217,71.56849108,14.04213108,,Larger,,Larger,Y,Y
OriginalData,F,9,11,2012,Kratina,Ecology,MJ,,Freshwater,Lentic,Canada,,NA,NA,,Mesocosm,16 month,487,"1136-L tanks, 0.6 m deep, 1.5 m in diameter",50,5,,3,Predator presence,June,2009,,Temperature,Submersive water heater,2,celsius,,Elevated,Yes,,,Nutrients,T x Nutrients,,Addition of N and P,2,?g L-1 ,,Elevated,,,,,,Producer,Phytoplankton,,Community,,Native,NA,Plant biomass/abundance,Biomass,Plant,CV phytoplankton chl a ,?g L-1,,,No,486.667,,,Ambient + 3 degrees celsius,3,1 ÔøΩ 3,,264 ?g L-1 N 27 ?g L-1 P,,4.3998108,2.677727819,5,0.6331054,0.264273229,5,7.548689,4.159203117,5,6.7094904,10.60122032,5,3.7819836,1.086209382,0.6331054,2.946931532,5,0.903225806,7.780433077,0.339852507,0.402309995,0.652803319,0.408523043,0.705403888,0.409951893,Additive,2.9275068,5.623281018,6.076385,Additive,N,N,85.61062217,71.56849108,14.04213108,,Larger,,Larger,Y,Y
,F,130,226,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,"90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth. Fine river sand sourced from the floodplain of the Taieri River (grain size 0.2 mm) was added on day 0 to half the mesocosms, resulting in deposited sediment values equivalent to those occurring in intensively farmed New Zealand streams",2,percentage cover and mm depth,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,,,,,Other,Bacteria,,Community,,,NA,Other biomass/abundance,Biomass,Other,Cyanobacteria cell density,Cells cm-2 x1000,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,0% and 0mm,90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth,Ambient,10.035842,28.673837,4,65.94982,226.52328,4,2.8673835,7.1684586,4,35.842293,140.501788,4,58.7813615,18.84280618,65.94982,160.2563309,4,0.869565217,150.7030922,-0.1323597,0.500547472,0.098087984,0.500300664,-0.173722104,0.500943105,Multiplicative,22.9390685,16.99948682,30.107527,N,Multiplicative,N,557.1428685,71.42857072,485.7142978,Y,,,Within,Y,Y
OriginalData,F,44,66,2013,Weisse,Freshwater Biology,MJ,,Freshwater,Lentic,Austria,Widespread in aquatic habitats,48.83333333,15.71666667,,Lab,,NA,50 mL culture tissue flasks,24,NA,,3,,,,,Temperature,,3,celsius,Oct-25,Elevated,Yes,,,Acidification,T x Acidification,,addition of small amounts of 0.1 or 1 M NaOH or Hcl,3,pH,2.7-5.0,,15 degrees celsius,,Cephalodella,acidophila,Females,Invertebrate,Rotifera,,Population,,,NA,Animal survival,Survival,Animal,life span rotifers,days,Yes,,No,NA,,10 degrees celsuis,25 degrees celsius,15,12 ÔøΩ 20,7pH,3 pH,,11.71,34.29286,24,5.3,22.535308,24,3.4,7.838368,24,2.79,4.409082,24,0,1.538855679,3.4,16.87127914,24,0.983606557,12.33045141,0.222559759,0.083376331,0.099804437,0.08334198,-0.048660019,0.083335389,Dominance,2.79,1.251144321,0.61,N,N,Dominance,54.73953886,70.96498719,16.22544833,,,,Within,Y,Y
OriginalData,F,2,7,2005,Doyle,L&O,MJ,,Freshwater,Lentic,USA,,NA,NA,,Field,7 days,7,500-ml ,,4,,3,,July,2003,,Temperature,,2,celsius,6.1-14.0,Elevated,Not given,,,Light,T x Light,,Exposed/blocked UVR,2,nm,0-399,Reduced,,,,,,Producer,Phytoplankton,,Population,,Native,NA,Plant growth/size,Growth,Plant,phytoplankton growth - Fragilaria,Percentage change from initial ,,,No,7,,6 degrees celsius,14 degrees celsius,8,8 ÔøΩ 11,295-399 nm,0,,1054,600,4,4633,350,4,323,300,4,3385,700,4,3902,1419.790323,4633,325.9601203,4,0.869565217,546.0082417,-0.823367091,0.521185418,3.129765907,0.806107332,-1.987547638,0.6234483,Additive,517,1965.209677,1248,Additive,N,N,339.5635674,69.35483871,270.2087287,Y,,,Within,Y,Y
,F,130,232,2015,Piggott,Global Change Biology,OFM,25/02/2019,Freshwater,Lotic,New Zealand,,-45.11,170.7433333,98 m a.s.l,Mesocosm,6 weeks,42,Mesocosms external diameter of 25 cm and an inner outflow ring of 6 cm (volume 3.5l),128,4,"Temperature treatments were assigned randomly in eight blocks (each consisting of 16 mesocosms). Within each block, nutrient and sediment levels were randomly assigned to the 16 mesocosms, providing four replicates of each treatment combination",3,Sediment,November ÔøΩ December,2009,,Temperature,Gas-fired water heaters,8,celsius,16-22,Elevated,,,Water,Habitat Alteration,T x Habitat Alteration,Sediment,"90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth. Fine river sand sourced from the floodplain of the Taieri River (grain size 0.2 mm) was added on day 0 to half the mesocosms, resulting in deposited sediment values equivalent to those occurring in intensively farmed New Zealand streams",2,percentage cover and mm depth,,Elevated,16.1 ÔøΩ 0.03 ÔøΩC,,,,,Producer,Algae,,Community,,,NA,Plant biomass/abundance,Abundance,Plant,Relative abundance patterns of adnate or prostrate algal growth,% per sample,,,No,20,,16.1 ÔøΩ 0.03 degrees celsius,22 degrees celsius,5.9,4 ÔøΩ 7,0% and 0mm,90.1 ÔøΩ 0.9% streambed cover and 12.6 ÔøΩ 0.5 mm sediment depth,Ambient,50.575806,6.830086,4,62.16706,42.24044,4,15.782145,3.105588,4,23.646692,7.453416,4,27.373399,19.39918773,15.782145,29.94911892,4,0.869565217,21.82318875,-0.1484941,0.500689078,0.169245751,0.500895129,0.313370177,0.503068777,Additive,3.726707,4.24750427,7.864547,Additive,N,N,22.91857494,68.79506972,45.87649478,,,,Within,,Y
,F,117,167,2016,Lambert,Environmental Pollution,OFM,13/02/2019,Freshwater,Lotic,France,,NA,NA,,Lab,6 weeks,42,40 ÔøΩ 20 ÔøΩ 25 cm,24,3,,2,,February,2012,,Temperature,,4,celsius,Aug-23,Elevated,,,,Contamination,T x Contamination,Copper,Cu exposure,2,?g L?1,,Elevated,8 degrees celsius,,,,,Producer,Periphyton,,Community,,,NA,Plant condition/physiological,Physiological,Plant,Photosynthetic efficiency ÔøΩ PSII yield,relative unit,,,Yes,42,Yes,8 degrees celsius,23 degrees celsius,15,12 ÔøΩ 20,<0.3 ?g L?1,15 ?g L?1,,0.5212766,0.0297872,3,0.5035416,0.09622404,3,0.16382979,0.110212754,3,0.54729086,0.18084235,3,0.14609479,0.158255933,0.16382979,0.103455104,3,0.8,0.147320932,2.178623577,0.930355594,2.112584663,0.914611886,2.082316828,0.907557965,Dominance,0.40119607,0.389034927,0.38346107,N,N,Dominance,3.402224462,68.5714283,65.16920384,Y,Larger,,Larger,,Y
,F,140,292,2018,Romero,Science of the Total Environment,OFM,29/03/2019,Freshwater,Lotic,Spain,,NA,NA,,Lab,,NA,"glass crystallizer (diameter?=?7?cm, height?=?4?cm) filled with 100?mL of water and 10 colonized glass slides",,4,,4,,,,,Temperature,,2,celsius,12.5-19.5,Elevated,,,,Contamination,T x Contamination,Pharmaceutical,Erythromycin ÔøΩ antibiotic,2,?g?L?1,0-10,Elevated,,,,,,Producer,Periphyton,,Community,,,NA,Plant condition/physiological,Photosynthesis,Plant,Community respiration,mg C-CO2 cm-2 h-1,,,No,1.66667,,12.5 degrees celsius ,19.5 degrees celsius,7,4 ÔøΩ 7,0,10?g?L?1,,0.033072624,0.033072636,4,0.029497206,0.017877096,4,0.054748602,0.089385472,4,0.069944136,0.021452516,4,0.051173184,0.048829836,0.054748602,0.064456781,4,0.869565217,0.048035857,0.339799644,0.503608244,0.382219912,0.504565377,0.275075928,0.502364586,Dominance,0.018770952,0.0211143,0.015195534,N,N,Dominance,10.81080836,65.54054495,54.72973659,Y,Larger,,Larger,,Y
OriginalData,F,95,114,2014,Tasmin,Environ Sci Pollut Res,MJ,,Freshwater,NA,Japan,,NA,NA,,Lab,144 hours,6,13 mm ÔøΩ 100 mm test tubes,,NA,,2,,,,,Temperature,,5,celsius,Oct-30,Elevated,Yes,"Prior to the exposure test, P. subcapitata was acclimated to the each test temperature by stepwise transfer (5 ÔøΩC) from 25 ÔøΩC over a period of 7 days and cultured at test temperatures",,Contamination,T x Contamination,,Herbicide (Diuron),5,?g L -1,0-32,Elevated,25 degrees celsius,0 ?g L-1,Pseudokirchneriella,subcapitata,,Producer,Algae,,Population,,,NA,Plant growth/size,Growth,Plant,growth rate of algal cells P. subcapitata,divisions per day,,200 ?mol photons/m2/s of cool white fluorescent illumination with a 12:12 h light/dark cycle,Yes,6,Yes,20 degrees celsius,30 degrees celsius,10,8 ÔøΩ 11,0 ?g L-1,32 ?g L-1,,0.63,0.01,4,0.74,0.02,4,0.22,0.001,4,0.35,0.01,4,0.33,0.258412698,0.22,0.014159802,4,0.869565217,0.012257651,1.418812203,0.562907127,6.497259084,1.819199238,9.222279316,3.157826118,Additive,0.02,0.091587302,0.13,Additive,N,N,17.46031746,65.07936508,47.61904762,,Larger,,Larger,,Y
OriginalData,F,2,6,,Doyle,L&O,MJ,,Freshwater,Lentic,USA,,NA,NA,,Field,7 days,7,500-ml ,,4,,3,,July,2003,,Temperature,,2,celsius,6.1-14.0,Elevated,Not given,,,Nutrients,T x Nutrients,,Addition of N and P,2,?m L-1,,Elevated,,,,,,Producer,Phytoplankton,,Population,,Native,NA,Plant growth/size,Growth,Plant,phytoplankton growth - Dinobryon,Percentage change from initial ,,,No,7,,6 degrees celsius,14 degrees celsius,8,8 ÔøΩ 11,3.66 N 0.08 P,18 ?m L-1 N 5 ?m L-1 P,,308,98,4,44,35,4,502,124,4,-12,33,4,238,71.71428571,44,91.10707986,4,0.869565217,68.51824575,-3.172750586,0.814573321,-1.062418196,0.535272888,-0.710696131,0.515784031,Dominance,250,83.71428571,56,N,N,Dominance,85.71428571,62.98701299,22.72727273,,,Smaller,Smaller,Y,Y
,F,123,189,2018,Wen,Aquatic Toxicology,OFM,28/01/2019,Freshwater,Lotic,Brazil,,-3.283333333,-60.61666667,,Lab,30 days,30,300-mL chamber (diameter of 20?cm),20,3,"240 full-sibling juvenile S. aequifasciatus individuals were randomly distributed among 50-L tanks (20 fish per tank, three tanks per treatment)",2,,,,,Temperature,,2,celsius,28-31,Elevated,Yes,"at the end of the exposure period, a 5-min acclimation period",n/g,Contamination,T x Contamination,,Microplastics,2,?g L -1,0-200,Elevated,28.0?ÔøΩ?1.0 degrees celsius,0,Symphysodon,aequifasciatus,Juvenile,Vertebrate,Actinopterygii,,Individual,S. aequifasciatus showed optimal growth performance at temperatures of 28ÔøΩ29?ÔøΩC,Native,NA,Animal condition/physiological,Physiological,Animal,Digestive enzyme trypsin activity,U/mg protein,Yes,fed three times a day with new-born (24-h old) Artemia nauplii,No,30,,28 degrees celsius,31 degrees celsius,3,1 ÔøΩ 3,0,200 ?g L-1,,2733.4282,645.2727571,3,2486.072,899.9846847,3,1031.6616,645.2727571,3,1249.9976,1035.807952,3,784.3054,938.3034159,1031.6616,783.0547119,3,0.8,918.1701355,0.405756783,0.675813254,0.271578586,0.670764163,0.190235767,0.668677203,Dominance,465.6922,311.6941841,218.336,N,N,Dominance,9.049302996,62.25759286,53.20828987,Y,Larger,,Larger,,Y
,F,123,194,2018,Wen,Aquatic Toxicology,OFM,28/01/2019,Freshwater,Lotic,Brazil,,-3.283333333,-60.61666667,,Lab,30 days,30,300-mL chamber (diameter of 20?cm),20,3,"240 full-sibling juvenile S. aequifasciatus individuals were randomly distributed among 50-L tanks (20 fish per tank, three tanks per treatment)",2,,,,,Temperature,,2,celsius,28-31,Elevated,Yes,"at the end of the exposure period, a 5-min acclimation period",n/g,Contamination,T x Contamination,,Microplastics,2,?g L -1,0-200,Elevated,28.0?ÔøΩ?1.0 degrees celsius,0,Symphysodon,aequifasciatus,Juvenile,Vertebrate,Actinopterygii,,Individual,S. aequifasciatus showed optimal growth performance at temperatures of 28ÔøΩ29?ÔøΩC,Native,NA,Animal condition/physiological,Physiological,Animal,Post exposure predatory performance,Percentage,Yes,15 live nauplii (A) were added to the chamber using a 1-mL Pasteur pipet,No,0.00347222,,28 degrees celsius,31 degrees celsius,3,1 ÔøΩ 3,0,200 ?g L-1,,70.03745,34.38155494,3,56.64794,52.86970775,3,26.685392,39.89555947,3,56.64794,39.89555601,3,13.295882,21.58377389,26.685392,46.83407767,3,0.8,43.50336895,0.797217485,0.701975318,0.644808289,0.689765429,0.550992693,0.683532942,Dominance,43.352058,35.06416611,29.962548,N,N,Dominance,19.11764349,61.89839579,42.7807523,,Larger,,Larger,,Y
OriginalData,F,77,104,2003,Peuranen,Aqua. Tox.,MJ,,Freshwater,Lotic,Finland,,NA,NA,,Mesocosm,2 weeks,14,60 L,24,NA,,3,,,,Humic acid,Temperature,,2,celsius,Mar-13,Elevated,Yes,The fish were acclimated to Helsinki tap water ([Ca2+]=0.138 mmol l?1) for 2 weeks at two temperatures (13 and 3 ÔøΩC) prior to the experiment,,Contamination,T x Contamination,,Metal exposure,2,mg L-1 (Fe) and ?g L-1 (Al),,Elevated,,,Thymallus,thymallus,Juvenile,Vertebrate,Salmonid,,Individual,,,NA,Animal condition/physiological,Metabolism,Animal,mean oxygen consumption,ml kg-2 h-1,Yes,"Fed daily throughout the acclimation period. Feeding was stopped 2 days prior to the beginning of the experiment, and the fish were not fed during the exposures",Yes,6,No,3 degrees celsius,13 degrees celsius,10,8 ÔøΩ 11,, Fe (1 mg l?1) and Al (100 ?g l?1) ,,642.125,188.6107102,6,1929.125,187.5502016,5,247.5,209,4,727.375,346.9089848,6,1534.5,743.5599572,1929.125,197.0291177,4,0.903225806,299.6228125,-2.433112896,0.540000799,-0.048790247,0.41671626,-3.622726867,0.690086457,Multiplicative,807.125,16.1849572,1201.75,N,Multiplicative,N,200.4282655,61.45610278,138.9721627,Y,,Smaller,Smaller,Y,Y
