MicrobialBiomass,OTU,mismatch
0.291376074,-0.1060651,1
-0.379499813,-0.057158414,0
-0.487161546,-0.057158414,0
-0.058399597,-0.057158414,0
-0.577739409,-0.057158414,0
-0.570031677,-0.251314428,0
-0.801203805,-0.043781359,0
-1.431451027,-0.055872141,0
0.162518929,-0.088292607,1
0.177513855,-0.199128675,1
0.10697212,-0.163453072,1
0.021819047,0.013986242,0
0.313091788,-0.119545151,1
-0.069114511,-0.087738914,0
0.023754219,-0.301105093,1
-0.17975355,-0.562118918,0
0.090971778,-0.145267545,1
0.048059662,-0.003614744,1
0.086540456,-0.073695463,1
0.090971778,-0.136850969,1
0.048059662,-0.112973325,1
0.086540456,-0.221673351,1
-0.055117316,0.024525843,1
0.05456425,0.094361056,0
-0.188274533,0.023823349,1
-0.07085403,-0.111818491,0
-0.21511138,0.16724245,1
0.211089627,0.039553658,0
-0.21511138,0.08486959,1
0.211089627,0.049340169,0
0.340698051,-0.047816024,1
0.636985289,-0.154339576,1
-0.068183386,-0.027850621,0
-0.003985026,0.312730085,1
