Code,Study ,Year,Author,Journal,Location,Organism,Response,Experiment,S1,S2,stressor_pair,Response,Variable,S1_mean,S1_sd,S1_n,S2_mean,S2_sd,S2_n,S1_S2_mean,S1_S2_sd,S1_S2_n,C_mean,C_sd,C_n,Predicted_additive_effect _multiplicative_risk ,Predicted additive effect based on Thompson paper - only relevent for population level responses ,Additive,Dominance
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Community,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,Copedods,77.62471166,4.168693835,4,426.5795188,3.467368505,4,15.13561248,4.265795188,4,354.8133892,1.995262315,4,93.32543008,149.3908412,149.3908412,71.76612957
F,40,2011,Waterkeyn,L&O,France,Invertebrate,Population,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal biomass/abundance,L. yeyetta,1,1,4,512.861384,7.943282347,4,28.84031503,2.13796209,4,309.0295433,1.348962883,4,1.659586907,204.8318407,204.8318407,203.8318407
F,30,2004,Rohr,Ecological Applications,USA,Vertebrate,Population,Lab,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Animal Survival,Survival,0.613,0.07,3,0.712,0.08,3,0.646,0.06,3,0.908,0.04,3,0.480678414,0.417,0.417,-0.196
F,82,2013,Dehedin,GCB,France,Invertebrate,Organism,Lab,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Behaviour,Feeding rate gammarus roeselii,0.32,0.357770876,20,0.23,0.178885438,20,0.05,0.313049517,20,0.51,0.04472136,20,0.144313725,0.04,0.04,-0.19
F,82,2013,Dehedin,GCB,France,Invertebrate,Organism,Lab,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Behaviour,Feeding rate gammarus pulex,0.52,0.447213595,20,0.52,0.04472136,20,0.047,0.313049517,20,0.72,0.04472136,20,0.375555556,0.32,0.32,-0.2
F,82,2013,Dehedin,GCB,France,Invertebrate,Organism,Lab,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Behaviour,Feeding rate asellus,0.08,0.134164079,20,0.95,0.04472136,20,0.067,0.268328157,20,0.46,0.670820393,20,0.165217391,0.57,0.57,0.49
F,31,2013,Magbanua,Freshwater Biology,New Zealand,Producer,Community,Mesocosm ,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Decompostion,leaf mass loss,0.0155,0.00212,2,0.004,0.0028,2,0.135,0.00071,2,0.0025,0.00071,2,0.0248,0.017,0.017,0.013
D,31,2013,Magbanua,Freshwater Biology,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Diversity Animal,Invertebrate diversity,2.59,0.52,2,4.07,0.34,2,2.37,0.54,2,3.38,0.55,2,3.118727811,3.28,3.28,0.69
D,40,2011,Waterkeyn,L&O,France,Invertebrate,Community,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Diversity Animal,Brachiopod richness,1.25,0.26,4,2.99,1,4,3.76,0.24,4,3.48,0.39,4,1.073994253,0.76,0.76,-0.49
D,40,2011,Waterkeyn,L&O,France,Invertebrate,Community,Mesocosm,Contamination,Habitat Alteration,Contamination x Habitat Alteration,Diversity Animal,zoop richness,6.26,1.1,4,4.97,0.67,4,5.74,0.57,4,6.26,0.75,4,4.97,4.97,4.97,0
F,39,2013,Magbanua,Water Research,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Plant biomass/abundance,algae guild 3,17.9,9.308062,6,15.2,12.24745,6,18.5,5.633827,6,4.3,2.44949,6,63.2744186,28.8,28.8,13.6
F,39,2013,Magbanua,Water Research,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Plant biomass/abundance,algae guild 2,43.8,14.207042,6,28.8,20.330767,6,31.5,12.24745,6,15.6,11.022705,6,80.86153846,57,57,28.2
F,39,2013,Magbanua,Water Research,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Plant biomass/abundance,algae guild 1,38.3,14.207042,6,56.1,27.434288,6,50.1,14.451991,6,80.2,12.982297,6,26.79089776,14.2,14.2,-24.1
F,52,2013,Proia,Aquatic Toxicology,Spain,Producer,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Plant biomass/abundance,cyanobacteria,66.1,1.7,3,17.4,15.6,3,67,25.5,3,37,26,3,31.08486486,46.5,46.5,29.1
F,52,2013,Proia,Aquatic Toxicology,Spain,Producer,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Plant biomass/abundance,green algae,70.3,21.4,3,125.2,20.6,3,93,32.4,3,146.8,36.8,3,59.95613079,48.7,48.7,-21.6
F,52,2013,Proia,Aquatic Toxicology,Spain,Producer,Community,Mesocosm,Habitat Alteration,Contamination,Contamination x Habitat Alteration,Plant biomass/abundance,diatoms,120.2,20.4,3,127.3,7.8,3,115.1,12.3,3,149.8,42.4,3,102.1459279,97.7,97.7,-22.5
F,18,2012,Buck,Freshwater Biology,USA,Invertebrate,Community,Mesocosm,Contamination,Invasion,Contamination x Invasion,Animal biomass/abundance,Copepod abundance,1.976266458,1.131153842,4,1.191908983,1.032111852,4,1.118146351,1.1737607,4,2.334249361,0.860528343,4,1.009116586,0.833926081,0.833926081,-0.357982902
F,18,2012,Buck,Freshwater Biology,USA,Invertebrate,Community,Mesocosm,Contamination,Invasion,Contamination x Invasion,Animal biomass/abundance,Cladoceran abundance,0.978462711,0.994013394,4,2.639057861,0.930630407,4,1.133763098,1.176114582,4,3.131985896,0.491405879,4,0.824467222,0.485534677,0.485534677,-0.492928034
F,18,2012,Buck,Freshwater Biology,USA,Vertebrate,Population,Mesocosm,Contamination,Invasion,Contamination x Invasion,Animal growth/size,Growth rate metamorphs (Pseudacris regilla),0.0075,0.0004,4,0.0078,0.0012,4,0.0075,0.0007,4,0.0068,0.0001,4,0.008602941,0.0085,0.0085,0.001
F,18,2012,Buck,Freshwater Biology,USA,Vertebrate,Population,Mesocosm,Contamination,Invasion,Contamination x Invasion,Animal growth/size,Growth rate metamorphs (Rana cascadae),0.0097,0.0003,4,0.0095,0.0005,4,0.0098,0.0002,4,0.0083,0.0009,4,0.01110241,0.0109,0.0109,0.0014
F,18,2012,Buck,Freshwater Biology,USA,Vertebrate,Population,Mesocosm,Contamination,Invasion,Contamination x Invasion,Animal growth/size,Tadpole growth rate (P. regilla),0.0169,0.002,4,0.0138,0.0021,4,0.0171,0.0006,4,0.012,0.001,4,0.019435,0.0187,0.0187,0.0049
F,18,2012,Buck,Freshwater Biology,USA,Vertebrate,Population,Mesocosm,Contamination,Invasion,Contamination x Invasion,Animal growth/size,Tadpole growth rate (R. cascadae),0.0222,0.001,4,0.0199,0.0016,4,0.0178,0.0016,4,0.0206,0.0031,4,0.021445631,0.0215,0.0215,0.0016
F,22,2007,Boone,Ecological Applications,USA,Vertebrate,Population,Mesocosm,Invasion,Contamination,Contamination x Invasion,Animal Survival,Ambystoma maculatum survival,0,0,40,0.38,0.08,40,0,0,40,0.87,0.07,40,0,0,-0.49,-0.49
F,22,2007,Boone,Ecological Applications,USA,Vertebrate,Population,Mesocosm,Invasion,Contamination,Contamination x Invasion,Animal Survival,Ambystoma maculatum survival,0.91,0.06,40,0.38,0.08,40,0.28,0.06,40,0.87,0.07,40,0.397471264,0.42,0.42,0.04
F,37,2011,Gahl,Ecological Applications,Canada,Vertebrate,Population,Lab,Invasion,Contamination,Contamination x Invasion,Animal Survival,woodfrog survival a,0.49,0.14,10,0.9,0.12,10,0.73,0.14,10,0.83,0.17,10,0.531325301,0.56,0.56,0.07
F,37,2011,Gahl,Ecological Applications,Canada,Vertebrate,Population,Lab,Invasion,Contamination,Contamination x Invasion,Animal Survival,woodfrog survival b,0.58,0.18,10,0.9,0.12,10,0.72,0.15,10,0.83,0.17,10,0.628915663,0.65,0.65,0.07
F,38,2013,Brown,Env. Tox. & Chem.,USA,Vertebrate,Population,Lab,Contamination,Invasion,Contamination x Invasion,Animal Survival,Toad tadpole survival,0.773,0.09,11,0.683,0.07,11,0.909,0.06,11,0.841,0.055,11,0.627775268,0.615,0.615,-0.068
F,48,2010,Ade and Boone,J. Herpetology,USA,Vertebrate,Population,Mesocosm,Invasion,Contamination,Contamination x Invasion,Animal Survival,cricket frog survival,0.01,0.04,60,0.05,0.06,60,0.01,0.04,60,0.78,0.06,60,0.000641026,0,-0.72,-0.73
F,48,2010,Ade and Boone,J. Herpetology,USA,Vertebrate,Population,Mesocosm,Invasion,Contamination,Contamination x Invasion,Animal Survival,cricket frog survival,0.01,0.04,60,0.05,0.06,60,0.05,0.06,60,0.78,0.06,60,0.000641026,0,-0.72,-0.73
F,48,2010,Ade and Boone,J. Herpetology,USA,Vertebrate,Population,Mesocosm,Invasion,Contamination,Contamination x Invasion,Animal Survival,cricket frog survival,0.45,0.05,60,0.05,0.06,60,0.18,0.06,60,0.78,0.06,60,0.028846154,0,-0.28,-0.33
F,18,2012,Buck,Freshwater Biology,USA,Producer,Community,Mesocosm,Contamination,Invasion,Contamination x Invasion,Plant biomass/abundance,Phytoplankton abundance,1.603160144,0.253778484,4,1.209555415,0.483481528,4,1.526392808,0.324763911,4,1.187161569,0.611044302,4,1.633401119,1.625553991,1.625553991,0.415998576
F,18,2012,Buck,Freshwater Biology,USA,Producer,Community,Mesocosm,Contamination,Invasion,Contamination x Invasion,Plant biomass/abundance,Periphyton biomass,2.803706177,0.864457807,4,3.022816903,1.071928803,4,3.054152047,0.386322885,4,2.144134021,1.665890568,4,3.952686885,3.682389059,3.682389059,0.878682882
F,90,2013,Alexander,Ecotoxicology,Canada,Invertebrate,Community,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Animal biomass/abundance,Total invert abundance,63.1,11.03086579,8,16.4,5.374011537,8,15.3,7.636753237,8,40.6,8.202438662,8,25.48866995,38.9,38.9,22.5
F,22,2007,Boone,Ecological Applications,USA,Vertebrate,Population,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Animal Survival,Ambystoma maculatum survival,0.95,0.05,40,0.38,0.08,40,0.5,0.07,40,0.87,0.07,40,0.414942529,0.46,0.46,0.08
F,24,2006,Boone and Bridges-Britton,Env. Tox. & Chem.,USA,Vertebrate,Population,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Animal Survival,Hyla versicolor survival,0.57,0.09,3,0.37,0.1,3,0.69,0.09,3,0.67,0.09,3,0.314776119,0.27,0.27,-0.1
F,24,2006,Boone and Bridges-Britton,Env. Tox. & Chem.,USA,Vertebrate,Population,Mesocosm,Contamination,Nutrification,Contamination x Nutrification,Animal Survival,Hyla versicolor survival,0.77,0.09,3,0.57,0.09,3,0.67,0.1,3,0.67,0.09,3,0.655074627,0.67,0.67,0.1
F,53,2013,Funck,Aquatic Toxicology,France,Invertebrate,Organism,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Behaviour,Gammarus feeding rate,0.47,0.08,4,0.28,0.04,4,0.25,0.06,4,0.7,0.08,4,0.188,0.05,0.05,-0.23
F,53,2013,Funck,Aquatic Toxicology,France,Producer,Community,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Decompostion,leaf mass loss,42,5,4,11,1,4,10,2,4,30,5,4,15.4,23,23,12
F,102,2009,Fernandes,Science of the Total Environment,Portugal,Producer,Community,Lab,Nutrification,Contamination,Contamination x Nutrification,Decompostion,leaf mass loss,71.4,12.12435565,3,56.6,4.330127019,3,59.6,6.581793069,3,77.9,14.02961154,3,51.87727856,50.1,50.1,-6.5
D,90,2013,Alexander,Ecotoxicology,Canada,Invertebrate,Community,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Diversity Animal,taxon richness,3.12,0.141421356,8,1.52,0.254558441,8,1.57,0.197989899,8,2.56,0.45254834,8,1.8525,2.08,2.08,0.56
F,53,2013,Funck,Aquatic Toxicology,France,Fungi,Community,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,other biomass/abundance,Fungal biomass,112,28,4,5,0.5,4,11,4,4,60,12,4,9.333333333,57,57,52
F,102,2009,Fernandes,Science of the Total Environment,Portugal,Fungi,Community,Lab,Nutrification,Contamination,Contamination x Nutrification,other biomass/abundance,fungi,430,102.1909976,3,494,145.4922678,3,509,62.35382907,3,282,41.56921938,3,753.2624113,642,642,212
F,87,2013,Xie,Chemosphere,China,Producer,Population,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Plant biomass/abundance,Total plant biomass M.spiculum,1.12,0.1,6,1.62,0.04,6,0.65,0.02,6,1.71,0.05,6,1.061052632,1.03,1.03,-0.09
F,87,2013,Xie,Chemosphere,China,Producer,Population,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Plant biomass/abundance,Total plant biomass E.nuttalli,1.38,0.002,6,2.04,0.04,6,1.78,0.01,6,2.1,0.02,6,1.340571429,1.32,1.32,-0.06
F,87,2013,Xie,Chemosphere,China,Producer,Population,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Plant biomass/abundance,Toral plant biomass P.crispus,2.05,0.05,6,2.79,0.03,6,2.49,0.06,6,2.52,0.05,6,2.269642857,2.32,2.32,0.27
F,90,2013,Alexander,Ecotoxicology,Canada,Producer,Community,Mesocosm,Nutrification,Contamination,Contamination x Nutrification,Plant biomass/abundance,periphyton biomass (AFDW),0.33,0.113137085,8,0.2,0.113137085,8,0.38,0.183847763,8,0.07,0.028284271,8,0.942857143,0.46,0.46,0.26
F,98,2014,Zhu,Hydrobiologia,China,Producer,Population,Lab,Nutrification,Contamination,Contamination x Nutrification,Plant growth/size,Plant height Myriophyllum,114.69,8.994312,8,101.44,14.311704,8,76.6,11.709576,8,116.69,14.453124,8,99.7013763,99.44,99.44,-2
F,91,2013,Kalcikova,Environmental Pollution,Germany,Invertebrate,Population,Lab,Contamination,Light,Contamination x UV,Animal biomass/abundance,dry weight gammarid,3.61,0.42,16,3.49,0.36,16,3.11,0.59,16,3.9975,0.42,16,3.151694809,3.1025,3.1025,-0.3875
F,104,2007,Kashian,Ecological Applications,USA,Invertebrate,Community,In situ,Contamination,Light,Contamination x UV,Animal biomass/abundance,Total Abundance,316,163.2329624,5,2234,176,4,290,129.6919427,5,2803,440,4,251.8530146,0,-253,-569
F,25,2005,Baud and Beck,Southeast. Nat.,USA,Vertebrate,Population,Lab,Light,Contamination,Contamination x UV,Animal Survival,tadpole survival (p. crucifer),0.1724,0.0242,4,0.1328,0.05,4,0.0534,0.0948,4,0.5534,0.11,4,0.041371016,0,-0.2482,-0.381
F,50,2010,Puglis,Archives of Environmental Contamination and Toxicology,USA,Vertebrate,Population,Lab,Contamination,Light,Contamination x UV,Animal Survival,Survival of green frog tadpoles,0.38,0.36,5,0.96,0.05,5,0.96,0,5,0.96,0.05,5,0.38,0.38,0.38,0
F,50,2010,Puglis,Archives of Environmental Contamination and Toxicology,USA,Vertebrate,Population,Lab,Contamination,Light,Contamination x UV,Animal Survival,Survival of green frog tadpoles,0.62,0.36,4,0.975,5,4,0.6,0.25,5,1,0,4,0.6045,0.595,0.595,-0.025
F,50,2010,Puglis,Archives of Environmental Contamination and Toxicology,USA,Vertebrate,Population,Lab,Contamination,Light,Contamination x UV,Animal Survival,Survival of green frog tadpoles,0.1,0.17,5,1,0,5,0.32,0.31,5,1,0,5,0.1,0.1,0.1,0
F,50,2010,Puglis,Archives of Environmental Contamination and Toxicology,USA,Vertebrate,Population,Lab,Contamination,Light,Contamination x UV,Animal Survival,Survival of green frog tadpoles,0.18,0.4,5,1,0,5,0.16,0.15,5,1,0,5,0.18,0.18,0.18,0
F,50,2010,Puglis,Archives of Environmental Contamination and Toxicology,USA,Vertebrate,Population,Lab,Contamination,Light,Contamination x UV,Animal Survival,Survival of green frog tadpoles,0.2,0.44,5,1,0,5,0.02,0.04,5,1,0,5,0.2,0.2,0.2,0
D,104,2007,Kashian,Ecological Applications,USA,Invertebrate,Community,In situ,Contamination,Light,Contamination x UV,Diversity Animal,Richness,23.07,4.248529157,5,32.9,4.8,4,24.2,2.906888371,5,31.5,3.2,4,24.09533333,24.47,24.47,1.4
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Animal biomass/abundance,total inverts tiles,216.85,6.75,3,79.78,13.48,3,102.25,26.96,3,46.07,15.73,3,375.5218797,250.56,250.56,170.78
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Animal biomass/abundance,total inverts leaf litter,261.8,51.68,3,205.62,8.99,3,201.12,47.19,3,331.46,150.56,3,162.4066735,135.96,135.96,-69.66
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Decompostion,leaf mass loss,47.8,1.1,3,48.35,2.66,3,51.96,3.41,3,41.9,0.001,3,55.15823389,54.25,54.25,6.45
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Diversity Animal,tile taxon richness,8.33,1.32,3,8.33,0.36,3,7.37,0.6,3,7.73,2.41,3,8.976571798,8.93,8.93,0.6
D,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Diversity Animal,leaf pack taxon richness,9.65,1.56,3,11.64,0.66,3,7.37,0.78,3,10.98,2.22,3,10.23005464,10.31,10.31,0.66
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Producer,Community,Mesocosm,Habitat Alteration,Habitat Alteration,Habitat Alteration x Habitat Alteration,Plant biomass/abundance,Algal biomass,0.5,0.01,3,0.623,0.187,3,0.119,0.001,3,0.585,0.115,3,0.532478632,0.538,0.538,0.038
F,35,2004,Baxter,Ecology,Japan,Invertebrate,Community,In situ,Habitat Alteration,Invasion,Habitat Alteration x Invasion,Animal biomass/abundance,emerging insect biomass,0.75,0.1,4,2.31,0.4,4,1.33,1,4,3.5,0.8,4,0.495,0,-0.44,-1.19
F,35,2004,Baxter,Ecology,Japan,Invertebrate,Community,Mescosm,Habitat Alteration,Invasion,Habitat Alteration x Invasion,Animal biomass/abundance,herbivore biomass,267.28,128.34,4,315.6,76.8,4,248.6,161.4,4,495.5,216.4,4,170.2392896,87.38,87.38,-179.9
F,35,2004,Baxter,Ecology,Japan,Producer,Community,In situ,Habitat Alteration,Invasion,Habitat Alteration x Invasion,Plant biomass/abundance,chl a biomass,7.88,1.8,4,8.87,1.08,4,7.9,1.3,4,5.29,0.92,4,13.21277883,11.46,11.46,3.58
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts tiles,147.19,58.43,3,79.78,13.48,3,169.66,8.99,3,46.07,15.73,3,254.8907792,180.9,180.9,101.12
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts tiles,216.85,6.75,3,147.19,58.43,3,315.73,121.34,3,46.07,15.73,3,692.8185696,317.97,317.97,170.78
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts leaf litter,261.8,51.68,3,198.88,42.69,3,277.53,30.57,3,331.46,150.56,3,157.0831594,129.22,129.22,-69.66
F,7,2010,Matthaei,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Nutrification,Habitat Alteration,Habitat Alteration x Nutrification,Animal biomass/abundance,total inverts leaf litter,198.88,42.69,3,205.62,8.99,3,230.34,19.91,3,331.46,150.56,3,123.3744814,73.04,73.04,-125.84
F,13,2010,Molinos,Ecological Applications,Ireland,Invertebrate,Community,In situ,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,Invert abundance,44.5,3.4,4,78,5.5,4,45.4,2.4,4,76.9,3.8,4,45.13654096,45.6,45.6,1.1
F,16,2012,Piggott,PLoS One,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,Total Invertebrates,186,85.64,6,200.83,189.3,6,310.58,221.38,6,69.83,36.14,6,534.9331233,317,317,131
F,21,2012,Wagenhoff,J. App. Eco. ,New Zealand,Invertebrate,Community,Mesocosm,Habitat Alteration,Nutrification,Habitat Alteration x Nutrification,Animal biomass/abundance,Total density,2074,924.8956698,2,2396,282.8427125,2,748,265.8721497,2,2852,407.293506,2,1742.392707,1618,1618,-456
